0,6.43,-3.73,-6.95,19.16,3.94,2.46,2.132194034819325,-0.5670292307209689,-1.4340724307283663,7.014643430571864,0.7081548891206366,5.702638626177455,-0.94,-0.56,-0.77,0.91,0.77,0.54,-0.16524904870850868,0.8734380417949735,-0.7849283979350968,-0.23570883354777328,0.846811861027283,1.24535790961676
0,3.91,-2.85,-6.52,18.01,4.36,2.49,1.0697316649902309,-0.023377884813132525,-0.9998621449041716,2.1624077250405165,-0.6552183980005868,2.623695726853523,-1.71,-0.61,-0.78,0.78,0.75,0.44,0.04105230180882816,0.7358316353248312,-0.8260447990060478,-0.7106312505371464,0.20330542017025222,0.2302805093091358
0,6.48,-4.75,-5.83,16.44,3.65,3.04,1.0339970983661888,-0.43791749143412834,-0.5493541652829041,1.3624046805842234,-0.20720603728598075,0.7480409423746011,-1.59,-0.58,-0.68,0.89,0.94,0.43,-0.1129757487103624,0.8920529101227958,-0.5892331876763541,-0.5008090348065966,0.1653621105658849,-0.2716818136178909
1,-16.11,-34.89,-28.48,16.6,8.48,6.92,-1.044526578284989,-5.601755201452611,-0.9162269743342467,4.099359654956641,67.96976855160699,1.2367562979070978,-7.02,-2.93,-2.09,2.77,4.21,7.9,-4.341119608813433,-0.0207938719813403,6.179409193561112,33.681431722999456,24.06963747382076,64.58672037368143
0,-4.89,-12.85,-16.86,17.96,5.74,4.84,-0.5064137729834656,-1.1826467876480484,-0.8394798434142211,0.5785017536225538,1.6042740065203152,-0.7174640280299087,-3.11,-1.99,-1.21,2.29,2.33,1.29,0.31999193707218027,0.4573445145413009,0.8269190626509494,3.0469731631433765,3.3599288152176,3.839853549616138
0,6.04,-0.61,-2.48,17.28,5.8,3.62,1.4158886815037623,-0.1882477592906908,-0.5460312955080329,1.8416737626022712,-0.696959638508984,-0.13637655105866298,-1.7,-1.0,-0.78,0.64,1.27,0.56,-0.20247968973099983,0.8730974974861538,-0.5865051202022024,0.22098427198918902,0.599811787532035,0.25610398963052283
1,-7.1,-21.53,-25.03,17.26,6.77,6.08,-1.003592551872872,-1.3066451344325227,-1.7777511755947624,2.174909083349238,1.5894346183318246,5.817293713085009,-3.64,-3.46,-3.05,3.54,1.97,4.57,0.41502133303501776,-0.9085057409367411,2.0172830847197627,7.753530143532236,6.130121604310908,7.379157251273179
0,4.85,-5.77,-3.87,19.71,7.58,4.06,1.4962977978919179,-1.4613951416822064,-0.6840671968360655,3.4092295770540586,3.2755433327579295,0.22158089668524994,-1.66,-0.94,-2.24,1.01,1.2,1.06,0.25110332338249436,0.45405425435617597,-1.7009091939549974,0.01320274328820803,-0.32736034379490686,3.9405361475754432
1,-8.08,-25.53,-17.16,17.23,11.2,9.36,0.3760345948408129,-0.08833459508520733,0.08210551663827406,0.8274381535341959,0.10474752465680126,-0.23396077132829385,-5.14,-1.99,-2.97,2.96,2.03,4.49,-1.9175067431193014,-0.2237133578806149,3.173417662999525,19.720372912541606,4.01367924757108,15.469798961796467
1,-12.84,-24.92,-28.49,19.09,6.63,8.07,-0.2068869062460385,-0.40678605858963107,-0.8260080486558089,2.3932713820049445,0.6351792449627909,3.824968140496333,-8.73,-3.21,-3.77,3.34,1.65,5.05,-2.5100657642959234,-1.3394245565769125,1.3591538038236788,30.400512251481288,6.528177529448467,6.865639727495498
0,-1.91,-23.93,-21.78,17.31,5.82,5.27,-0.20338114166991478,-0.9575896989887697,-0.8810114774408869,1.0787954945891975,1.0007404630146857,0.889975701383372,-2.57,-1.08,-2.52,3.13,2.67,2.35,0.32384849762870976,0.9376911659810186,0.11715126255520847,3.200734477346031,1.9453154111295348,5.527382825966187
0,7.02,-0.35,-2.3,15.64,5.34,4.31,1.4181730963648846,-0.46482215263791027,-0.2553788493634328,2.2048485716810022,-0.7561104105727341,-0.5923262882618943,-1.3,-0.8,-0.98,0.83,1.0,0.45,0.2352853167580657,0.6720557184558934,-0.7368240660938379,-0.5072176517871498,-0.36842678429748377,0.3051119566959559
0,4.55,-4.46,-2.2,19.61,6.61,7.35,1.7973039089207103,-0.8025387473868448,0.393081898568357,10.11832515758674,1.9402151134317531,1.4567408905683887,-1.46,-0.84,-0.76,2.95,1.15,0.89,1.6865270343026832,0.45807223041808753,0.046147090648619035,11.54231553500049,0.7449792693182022,1.371816006785191
1,-10.94,-34.02,-17.47,14.99,4.46,27.41,-1.4314789114452897,-1.253020063534495,0.4356328653675173,4.159073739333545,4.014844126030461,9.716017394203444,-7.59,-3.91,-3.62,8.73,3.28,2.67,2.184359729897443,-0.7920140231625428,0.7825005954950718,29.154821496927198,30.187167738017436,8.461428707911356
0,-1.75,-15.58,-3.27,15.07,5.44,8.19,0.7493449554850112,0.9440992431780699,-0.5691656577774908,0.3536398443855169,0.7861216254687773,-1.3742438714834242,-2.72,-1.54,-2.11,1.56,1.32,2.15,-1.1629414415673984,-0.4836050494233339,-0.06449332450084937,6.4182861405707925,3.133510307463636,3.6801915346903646
0,6.23,-4.74,-3.49,17.26,6.06,5.37,1.5338110335197916,-0.8978354181599452,-0.18936512045376694,2.750339700489689,2.3012281204065257,-0.040469041939503736,-1.75,-0.78,-0.79,1.25,1.09,0.55,0.2555094809952663,0.6800035067747804,-0.5945373832785994,0.07878782961365882,-0.2527781384884453,0.14400633618905223
0,5.83,-0.64,-4.71,19.16,6.63,5.4,1.600748575435352,-0.11144103400328949,-0.5345168279369453,2.833542097235262,-0.4158972820819846,1.4657550284936658,-2.2,-0.73,-0.88,1.25,1.07,0.61,0.09363337264709114,0.6553275323886428,-0.6701848112895668,3.395851406884516,0.12556463457387546,0.587580624835728
